Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 02:05:50.093,114491.2,0.147,BTCUSDT
2025-09-30 02:05:50.093,114491.2,0.216,BTCUSDT
2025-09-30 02:05:50.136,114491.2,0.354,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.158,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.001,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.001,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.004,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.015,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.002,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.075,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.004,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.014,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.001,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.002,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.013,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.011,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.001,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.03,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.005,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.003,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.011,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.001,BTCUSDT
2025-09-30 02:05:50.138,114491.2,0.034,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.143,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.014,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.012,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.002,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.024,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.139,114491.2,0.006,BTCUSDT
2025-09-30 02:05:50.140,114491.2,0.023,BTCUSDT
2025-09-30 02:05:50.140,114491.2,0.007,BTCUSDT
2025-09-30 02:05:50.140,114491.2,0.017,BTCUSDT
2025-09-30 02:05:50.140,114491.2,0.029,BTCUSDT
2025-09-30 02:05:50.140,114491.2,0.022,BTCUSDT
2025-09-30 02:05:50.140,114491.2,0.008,BTCUSDT
2025-09-30 02:05:50.140,114491.2,0.002,BTCUSDT
2025-09-30 02:05:50.140,114491.2,0.002,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.002,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.001,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.001,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.002,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.008,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.02,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.006,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.003,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.061,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.001,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.001,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.001,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.001,BTCUSDT
2025-09-30 02:05:50.140,114491.1,0.117,BTCUSDT
2025-09-30 02:05:50.141,114491.1,0.112,BTCUSDT
2025-09-30 02:05:50.141,114491.1,0.082,BTCUSDT
2025-09-30 02:05:50.141,114491.1,0.194,BTCUSDT
2025-09-30 02:05:50.141,114491.1,0.044,BTCUSDT
2025-09-30 02:05:50.141,114491.1,0.033,BTCUSDT
2025-09-30 02:05:50.141,114491.1,0.16,BTCUSDT
2025-09-30 02:05:50.142,114491.1,0.11,BTCUSDT
2025-09-30 02:05:50.142,114491.1,0.191,BTCUSDT
2025-09-30 02:05:50.142,114491.1,0.043,BTCUSDT
2025-09-30 02:05:50.142,114491.1,0.078,BTCUSDT
2025-09-30 02:05:50.142,114491.1,0.001,BTCUSDT
2025-09-30 02:05:50.142,114491.1,0.001,BTCUSDT
2025-09-30 02:05:50.142,114491.0,0.002,BTCUSDT
2025-09-30 02:05:50.142,114491.0,0.002,BTCUSDT
2025-09-30 02:05:50.142,114490.8,0.001,BTCUSDT
2025-09-30 02:05:50.142,114490.8,0.001,BTCUSDT
2025-09-30 02:05:50.142,114490.4,0.051,BTCUSDT
2025-09-30 02:05:50.143,114490.4,0.118,BTCUSDT
2025-09-30 02:05:50.143,114490.4,0.001,BTCUSDT
2025-09-30 02:05:50.143,114490.3,0.002,BTCUSDT
2025-09-30 02:05:50.143,114490.2,0.002,BTCUSDT
2025-09-30 02:05:50.143,114490.2,0.001,BTCUSDT
2025-09-30 02:05:50.143,114490.1,0.003,BTCUSDT
2025-09-30 02:05:50.143,114490.0,0.001,BTCUSDT
2025-09-30 02:05:50.143,114489.9,0.065,BTCUSDT
2025-09-30 02:05:50.158,114489.9,0.001,BTCUSDT
2025-09-30 02:05:50.158,114489.9,0.001,BTCUSDT
2025-09-30 02:05:50.158,114489.9,0.001,BTCUSDT
2025-09-30 02:05:50.158,114489.9,0.001,BTCUSDT
2025-09-30 02:05:50.158,114489.9,0.001,BTCUSDT
2025-09-30 02:05:50.158,114489.9,0.001,BTCUSDT
2025-09-30 02:05:50.158,114489.9,0.001,BTCUSDT
2025-09-30 02:05:50.158,114489.9,0.003,BTCUSDT
2025-09-30 02:05:50.158,114489.9,0.001,BTCUSDT
